Work / Time,Project,Works Achive,Next Action,Due
🚩  부동산 매칭,,,,
" 1. 제안 완료",- 상진 (%E1%84%89%E1%85%A1%E1%86%BC%E1%84%8C%E1%85%B5%E1%86%AB%2010ee98ce7f71800ba5bdf8b8e04c56a9.md),→ 제안 완료,완료,"November 15, 2024"
,- 강익하 (%E1%84%80%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%B5%E1%86%A8%E1%84%92%E1%85%A1%20123e98ce7f7180e382c0caed08d0cb61.md),→ 제안 완료,완료,"October 24, 2024"
,- 위니치 (%E1%84%8B%E1%85%B1%E1%84%82%E1%85%B5%E1%84%8E%E1%85%B5%2056bdd84430ce4f8e91500bb57f51024f.md),→ 제안 완료,완료,"September 9, 2024"
,- 김민욱 (%E1%84%80%E1%85%B5%E1%86%B7%E1%84%86%E1%85%B5%E1%86%AB%E1%84%8B%E1%85%AE%E1%86%A8%2054d6627b01bd401685c04d582cb36c66.md),→ 제안 완료,완료,"November 14, 2024"
,-  박근하 (%E1%84%87%E1%85%A1%E1%86%A8%E1%84%80%E1%85%B3%E1%86%AB%E1%84%92%E1%85%A1%2012fe98ce7f7180d5a25aebbc35a6cecb.md),→ 제안 완료,완료,"November 22, 2024"
,- 지준호 (%E1%84%8C%E1%85%B5%E1%84%8C%E1%85%AE%E1%86%AB%E1%84%92%E1%85%A9%20127e98ce7f7180a69c4cfdeeee802388.md),→ 제안 완료,완료,"November 19, 2024"
,- 하성민 (%E1%84%92%E1%85%A1%E1%84%89%E1%85%A5%E1%86%BC%E1%84%86%E1%85%B5%E1%86%AB%2075f2ce683a2745068793ec246813b276.md),→ 제안 완료,완료,"December 9, 2024"
,,,,
" 2. 물건 취합 중",- 김영우 (%E1%84%80%E1%85%B5%E1%86%B7%E1%84%8B%E1%85%A7%E1%86%BC%E1%84%8B%E1%85%AE%2012fe98ce7f7180b6a7e1d0a581b43041.md),"→ 성북구, 동대문구, 도봉구, 노원구 제외한 지역 전달 완료",물건 취합 중,"December 5, 2024"
,- 썬양의 자연주의 (%E1%84%8A%E1%85%A5%E1%86%AB%E1%84%8B%E1%85%A3%E1%86%BC%E1%84%8B%E1%85%B4%20%E1%84%8C%E1%85%A1%E1%84%8B%E1%85%A7%E1%86%AB%E1%84%8C%E1%85%AE%E1%84%8B%E1%85%B4%20120e98ce7f7180e49468cfa5b5674037.md),→ 취합 중,물건 취합 중,"December 13, 2024"
,- 김동현 German Football Specialist (%E1%84%80%E1%85%B5%E1%86%B7%E1%84%83%E1%85%A9%E1%86%BC%E1%84%92%E1%85%A7%E1%86%AB%20German%20Football%20Specialist%2010be98ce7f7180c6b59dd55ae7e42310.md),→ 고객과 재연락 후 다시 한번 김포 풍무/구래/장기/인천 검단 등 지역으로 확인 중,물건 수집 중,"December 13, 2024"
,,,,
" 3. 물건 수집 중",- 차진용 (%E1%84%8E%E1%85%A1%E1%84%8C%E1%85%B5%E1%86%AB%E1%84%8B%E1%85%AD%E1%86%BC%20122e98ce7f7180c08614c516e202a656.md),중개사 연락 중,물건 수집 중,"November 29, 2024"
,- 이지원 (%E1%84%8B%E1%85%B5%E1%84%8C%E1%85%B5%E1%84%8B%E1%85%AF%E1%86%AB%20ec4d45ab16a94fceae22b652ad8b5b03.md),중개사 연락 중,물건 수집 중,
,,,,
" 4. 중개사 연락 중",- (주)디파이너스 ((%E1%84%8C%E1%85%AE)%E1%84%83%E1%85%B5%E1%84%91%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A5%E1%84%89%E1%85%B3%20113e98ce7f7180ab8538ef6c26e37a21.md),중개사 연락 중,중개사 연락 중,"December 13, 2024"
,- 이호정 (%E1%84%8B%E1%85%B5%E1%84%92%E1%85%A9%E1%84%8C%E1%85%A5%E1%86%BC%20123e98ce7f7180d2a20eec239d433f97.md),중개사 연락 중,중개사 연락 중,"December 13, 2024"
,,,,
5. 진행 예정,"- 민경석님 (%E1%84%86%E1%85%B5%E1%86%AB%E1%84%80%E1%85%A7%E1%86%BC%E1%84%89%E1%85%A5%E1%86%A8%E1%84%82%E1%85%B5%E1%86%B7%20118e98ce7f7180e493adc692781d3f92.md) ",,,
