이름,관련자,날짜,상태,파일과 미디어
팁스 PPT 1차,,2024/04/17,종료,%25E1%2584%2585%25E1%2585%25B5%25E1%2584%258B%25E1%2585%25A5%25E1%2586%25AF%25E1%2584%2585%25E1%2585%25A1%25E1%2584%258B%25E1%2585%25B5%25E1%2584%258C%25E1%2585%25A5%25E1%2584%2587%25E1%2585%25B3%25E1%2586%25AF_%25E1%2584%2590%25E1%2585%25B5%25E1%2586%25B8%25E1%2584%2589%25E1%2585%25B3_%25E1%2584%258E%25E1%2585%25A1%25E1%2586%25BC%25E1%2584%258B%25E1%2585%25A5%25E1%2586%25B8%25E1%2584%2580%25E1%2585%25B5%25E1%2584%258B%25E1%2585%25A5%25E1%2586%25B8_%25E1%2584%258B%25E1%2585%25A7%25E1%2586%25AB%25E1%2584%2580%25E1%2585%25AE%25E1%2584%2580%25E1%2585%25A2%25E1%2584%2587%25E1%2585%25A1%25E1%2586%25AF%25E1%2584%2580%25E1%2585%25A8%25E1%2584%2592%25E1%2585%25AC%25E1%2586%25A8%25E1%2584%2589%25E1%2585%25A5_v3_(2024.02.06).pptx
임대장부,,,추가작업,
고객 세그먼트 스터디,"윤아님, 대현님, 은빈님, 경재님",2024/04/01,진행 중,
디자인 시스템 작성,혜천님,2024/04/26 → 2024/05/13,완료,
공장 매매 전단지,경재님,2024/05/20 → 2024/05/22,시작예정,
채널톡 및 메일 푸터,,,종료,
키오스크 홍보물,,,종료,
세미나 포스터,,,종료,
공장견학,,2024/02/19,종료,
부동산 전단지 작업,,2024/02/20 → 2024/02/20,종료,
고객 / 중개인 전단지 작업,,2024/02/21 → 2024/02/23,종료,
데모데이 PPT,,2024/03/04 → 2024/03/08,종료,%25E1%2584%2585%25E1%2585%25B5%25E1%2584%258B%25E1%2585%25A5%25E1%2586%25AF%25E1%2584%2585%25E1%2585%25A1%25E1%2584%258B%25E1%2585%25B5%25E1%2584%258C%25E1%2585%25A5%25E1%2584%2587%25E1%2585%25B3%25E1%2586%25AF_%25E1%2584%2590%25E1%2585%25B5%25E1%2586%25B8%25E1%2584%2589%25E1%2585%25B3_%25E1%2584%258E%25E1%2585%25A1%25E1%2586%25BC%25E1%2584%258B%25E1%2585%25A5%25E1%2586%25B8%25E1%2584%2580%25E1%2585%25B5%25E1%2584%258B%25E1%2585%25A5%25E1%2586%25B8_%25E1%2584%258B%25E1%2585%25A7%25E1%2586%25AB%25E1%2584%2580%25E1%2585%25AE%25E1%2584%2580%25E1%2585%25A2%25E1%2584%2587%25E1%2585%25A1%25E1%2586%25AF%25E1%2584%2580%25E1%2585%25A8%25E1%2584%2592%25E1%2585%25AC%25E1%2586%25A8%25E1%2584%2589%25E1%2585%25A5_v3_(2024.02.06).pptx
알림톡 아이콘,,2024/02/20 → 2024/02/20,종료,
리플렛,,2024/03/11 → 2024/03/15,종료,
대시보드 모바일 작업,,2024/02/13 → 2024/02/16,종료,
기업 부스,,2024/02/23,종료,
