이름,주소,연락처,상태
써치공인중개사사무소,광주광역시 광산구 월계동 771-1 2층,010-9570-0082,진행 중
(주)스마일부동산중개법인,"광주광역시 북구 군왕로 311(각화동, 휴먼파크 서희스타힐스),301동 6호",010-7612-0480,시작 전
명품공인중개사사무소,광주광역시 북구 각화동 412-28 제2층 201호,010-7655-8260,시작 전
성균관공인중개사사무소,광주광역시 북구 동림동 649,010-4631-4869,시작 전
다정한이대표공인중개사사무소,광주광역시 광산구 도산동 832,010-8339-8378,시작 전
산솔공인중개사사무소,광주광역시 서구 치평동 1187 718호,010-7907-1628,시작 전
빛나는공인중개사사무소,광주광역시 서구 화정동 743-47,010-7289-0212,시작 전
초원공인중개사사무소,광주광역시 북구 두암동 561-5 지하 1층,010-8121-9882,시작 전
두암동공인중개사사무소,광주광역시 북구 두암동 851-14 (두암동),010-3631-1252,시작 전
초원공인중개사무소,광주광역시 북구 두암동 561-5 지하1층,010-8121-9882,시작 전
현대+공인중개사사무소,광주광역시 북구 두암동 561-5,010-9455-7780,시작 전
금빛공인중개사사무소,광주광역시 북구 용봉동 1488 101-102,010-8666-1407,시작 전
무등공인중개사사무소,광주광역시 북구 문흥동 1010-1,010-7605-8293,시작 전
전라공인중개사사무소,광주광역시 광산구 우산동 1057-8,010-3157-4358,시작 전
삼성공인중개사사무소,광주광역시 북구 문흥동 1003-1,010-9474-4080,시작 전
문흥공인중개사사무소,광주광역시 북구 문흥동 972-4,010-8672-1038,시작 전
상록공인중개사사무소(공동),광주광역시 북구 문흥동 1011-5,010-3641-4021,시작 전
동아공인중개사사무소,광주광역시 북구 문흥동 996-1 우미1차@상가 103호,010-2626-1499,시작 전
다올공인중개사사무소,광주광역시 동구 계림동 518-1,010-4600-1111,시작 전
써치공인중개사사무소,광주 광산구 월계동771-1 2층(월계동),010-9570-0082,시작 전
세진공인중개사사무소,광주광역시 북구 본촌동 770-23,010-6542-8846,시작 전
부동산1번가공인중개사사무소,광주광역시 북구 양산동 1027,010-2126-9029,시작 전
홈즈공인중개사,광주광역시 북구 용두동 1066-3,010-4368-8976,시작 전
본촌금탑공인중개사사무소,광주광역시 북구 본촌동 320,010-2928-1751,시작 전
인스타 공인중개사사무소,광주광역시 북구 본촌동 2861,010-3954-5779,시작 전
골드클래스공인중개사사무소,"광주광역시 서구 죽봉대로 17 상가103시동 106호(화정동, 광주 화정동 골드클래스 주상복합)",010-4135-8090,시작 전
써니공인중개사사무소,광주광역시 북구 중흥동 670-11 광주광역시,010-3077-5288,시작 전
명진공인중개사사무소,광주광역시 광산구 신가동 102호,010-6385-4779,시작 전
