이름,주소,성함,연락처,회신 여부,선택
글로벌비전부동산중개법인주식회사,경기도 김포시 김포한강4로 531 제이스프라자 707-150호 (구래동),김성웅,010-3249-2805,Yes,대화 중
신세계공인중개사사무소,경기도 성남시 중원구 갈마치로 234 선경SK아파트형공장 B116호(상대원동),박혜란,010-6271-9400,Yes,대화 중
사송공인중개사사무소,경기 성남시 수정구 사송로46번길 3 B동 1호(사송동),최혜민,010-9669-0089,Yes,대화 중
성은공인,경기도 성남시 분당구 판교로 700 분당테크노파크 관리동 101호,이연희,010-3396-8789,No,
에스케이(SK)공인중개사사무소,경기도 성남시 분당구 야탑동 147 상가동103호,김춘자,010-6824-6830,No,
삼성공인중개사사무소,경기도 성남시 호반써밋판교밸리아파트 상가 226동 111호,석정주,010-8667-2702,No,
판교뉴월드공인중개사사무소,경기 성남시 수정구 시흥동347 JS하나타워 101호,홍진호,010-7621-2631,No,
부자공인중개사사무소,경기 성남시 수정구 단대동48-1 102호,박상기,010-5083-8587,No,
리치공인중개사사무소,"경기 성남시 분당구 판교로 372,1층 107호 스타식스코아1",김영미,010-8774-7464,No,
21세기공인중개사사무소,경기도 성남시 수정구 수진동 3379-2 수진현대아파트상가108호,이형진,010-4300-4945,No,
SKN공인중개사사무소,경기 성남시 중원구 상대원동190-1 SKN테크노파크 메가동 B205호,손승미,010-6742-0011,No,
공장114공인중개사사무소㈜,경기 성남시 중원구 상대원동513-22 중일아인스프라츠 101-1호,최의교,010-2797-3605,No,
중앙이노테크공인중개사사무소,경기 성남시 중원구 상대원동171,김민지,010-7918-4989,No,
베스트공인중개사사무소,경기도 성남시 중원구 상대원1동 333-7,최창화,010-6332-6993,No,
프라임부동산중개,경기도 성남시 중원구 상대원1동 5469 성남센트럴비즈타워2차 B224호,최요진,-,No,
OK공인중개사사무소,경기 부천시 원미구 춘의동203-1 102호(춘의동),이동희,010-5271-5299,No,
봄남부동산공인중개사사무소,경기 성남시 중원구 사기막골로62번길 33 (상대원동) RB111호,권형민,010-7152-2250,No,
우림공인중개사사무소,경기 성남시 중원구 상대원동311-3 우림라이온스밸리1차 103호,김광련,010-3051-3301,No,
정든공인중개사사무소,경기도 성남시 중원구 상대원동 1128,권순미,010-2866-1231,No,
공장스타공인중개사사무소,"경기도 성남시 중원구 사기막골로62번길 37,B203호 (상대원동)",강영숙,010-9088-4488,No,
우리공인중개사사무소,경기 성남시 중원구 상대원동 442-2 한라시그마밸리 B208호,최영순,010-9911-7514,No,
성남점 철인부동산중개,경기 성남시 중원구 상대원동5469 제지2층 제비211호(성남센트럴비즈타워2차),김혜진,010-8863-7873,No,
